Country,Iso3c,2012 Rank,2012 Score,2013 Rank,2013 Score,2014 Rank,2014 Score,2015 Rank,2015 Score,2016 Rank,2016 Score,2017 Rank,2017 Score,2018 Rank,2018 Score,2019 Rank,2019 Score,2020 Rank,2020 Score,2021 Rank,2021 Score,2022 Rank,2022 Score
Laos,LAO,112,0.0,110,0.0,110,0.0,106,0.0,50,4.27472882724673,58,3.6814468681722,65,3.09418176981569,70,2.51857841484165,72,1.96491695885921,96,0.0,93,0.0
Latvia,LVA,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Lebanon,LBN,27,5.16632454455614,17,6.21058537890442,16,6.55179493013207,22,6.59447148840531,21,6.17541982937983,27,5.63809091083461,37,5.07106870560282,43,4.48697698460079,45,4.09658618255907,52,3.58020124882344,52,3.40021251211859
Lesotho,LSO,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Liberia,LBR,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Libya,LBY,23,5.44632843330534,18,6.18414278858152,15,6.66306198470035,14,7.1828605005474,15,6.89955220601417,19,6.45341498653158,16,6.76472063240876,21,6.30187130968081,25,5.63336071722287,27,5.12301950788881,32,4.72983025971423
Lithuania,LTU,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,84,1.73086448260274,85,1.24105004001805,85,0.826318935360223,86,0.508313378859537
Madagascar,MDG,72,2.36465995360453,69,2.48990864139466,47,3.73142126088077,59,3.13199291989236,47,4.4388516620323,56,3.84197057559517,62,3.24660229978686,68,2.58199473478214,70,2.02517561733704,96,0.0,93,0.0
Malawi,MWI,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Malaysia,MYS,77,2.17728451044181,73,1.97378670117656,58,3.13199291989236,65,2.80416888110616,56,3.43835910425916,66,2.84378461489953,67,2.93554470372368,72,2.30659840182477,65,2.53256457890395,68,1.86082737386225,75,1.35652695948864
Mali,MLI,22,5.49641260335714,19,5.89591272480977,21,5.97705352309634,16,6.88435850771719,13,7.04000985903159,10,7.50505177767785,9,7.70818340581267,8,7.82466938229563,7,7.92538497976542,7,8.16929698636834,4,8.41239241064137
Mauritania,MRT,53,3.36737929077001,65,2.61204016889894,76,1.98256639379373,86,1.40895466531747,106,0.0,108,0.0,83,1.73086448260274,90,1.24105004001805,88,0.826318935360223,86,0.508313378859537,87,0.290978597681926
Mauritius,MUS,112,0.0,110,0.0,110,0.0,106,0.0,88,1.24105004001805,96,0.826318935360223,103,0.508313378859537,105,0.290978597681926,100,0.157670277511823,96,0.0,93,0.0
Mexico,MEX,62,2.97524705967317,67,2.55538364146546,78,1.89048030040625,69,2.57321504216497,60,3.21986461753708,54,3.9508089624169,54,3.79600461062633,57,3.62840648623209,58,3.02897814524368,62,2.40310149537106,72,1.5778561694534
Moldova,MDA,82,1.93774847442113,85,1.42574727634863,110,0.0,106,0.0,88,1.24105004001805,96,0.826318935360223,103,0.508313378859537,105,0.290978597681926,100,0.157670277511823,96,0.0,93,0.0
Mongolia,MNG,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Montenegro,MNE,103,0.508313378859537,105,0.290978597681926,106,0.157670277511823,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Morocco,MAR,45,4.02799723923586,52,3.43673508069284,63,2.85021432700837,75,2.28223644448305,106,0.0,108,0.0,71,2.72646182003247,77,2.16322253728063,78,1.63192329244602,79,1.1544986362098,83,0.757098618500233
Mozambique,MOZ,106,0.290978597681926,60,3.02897814524368,50,3.58842437539301,63,3.00252983635947,48,4.42600161438672,41,4.79272002054926,20,6.4431232872071,13,7.33235194646276,9,7.88170283192082,11,7.48250353864604,12,7.32990404589585
Myanmar,MMR,20,5.5806365134653,23,5.21300040708467,29,4.63559176266966,40,4.49990959446792,43,4.60708635500437,40,4.83471971779136,42,4.79542672790728,23,6.07440059984617,24,5.93476970087857,10,7.56852236706278,9,7.97667917599247
Namibia,NAM,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Nepal,NPL,28,5.13906010042154,33,4.58367189189854,43,3.89810087131347,54,3.36737929077001,57,3.43673508069284,42,4.77664471573444,32,5.25391243661138,27,5.51130264570572,29,5.25192211974915,34,4.71215828242653,36,4.1344013857005
Netherlands,NLD,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,72,2.26979317520095,74,2.45014106978246,58,3.49639958435863,60,3.00252983635947,59,2.71155123867754,67,2.11961032363824
New Zealand,NZL,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,28,5.49098880115022,35,4.89307048725215,42,4.37039630965821,46,3.77647271224013
Nicaragua,NIC,91,1.05831156396975,94,0.681851850109894,44,3.89714688081969,56,3.3072114155563,68,2.72646182003247,75,2.16322253728063,85,1.63192329244602,112,0.0,105,0.0,96,0.0,93,0.0
Niger,NER,60,3.17484667681632,45,3.83070609987766,34,4.38354929772852,19,6.64669566989314,19,6.67529032363473,18,6.59261317254196,19,6.54882015714312,14,7.22745567148709,12,7.41772140630253,8,7.8585898914084,10,7.61620676036391
Nigeria,NGA,6,8.09834217820618,5,8.33560425721973,3,8.92098641839585,2,9.11226951135466,2,8.76068841186664,4,8.64388665643285,4,8.50647222108339,4,8.38968179439523,4,8.43495388741253,5,8.27004714971001,8,8.06481125280975
North Korea,PRK,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
North Macedonia,MKD,112,0.0,110,0.0,87,1.24105004001805,46,3.99794351734149,58,3.40696873628666,63,2.92385814351269,75,2.35335531818662,82,1.79828502296523,97,0.290978597681926,95,0.157670277511823,93,0.0
Norway,NOR,21,5.57448332863637,28,4.97642615060353,35,4.37973363060897,48,3.78412095674011,106,0.0,89,1.24105004001805,98,0.826318935360223,78,2.10457007854592,79,1.5778561694534,80,1.10774171984795,49,3.51441674218374
Oman,OMN,103,0.508313378859537,105,0.290978597681926,106,0.157670277511823,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Pakistan,PAK,2,9.15262024354674,2,9.18125906605939,2,9.0019725007018,4,8.74912536576618,4,8.60083118874692,5,8.52563680755891,5,8.37367314405971,5,8.07863941835053,8,7.91604572205567,9,7.85252424812968,6,8.16015314210701
Palestine,PSE,34,4.6298835419782,36,4.46498334187374,38,4.05624774971634,27,5.75189284954739,26,5.82082938688291,26,5.736783968823,27,5.67307211239933,31,5.40959239726097,33,4.97916197159738,32,4.73600348307829,33,4.61127624835016
Panama,PAN,91,1.05831156396975,94,0.681851850109894,106,0.157670277511823,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Papua New Guinea,PNG,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Paraguay,PRY,65,2.56434529984762,38,4.40078109664335,42,3.90285510151115,43,4.38680652302897,46,4.467454884839,55,3.90380281918947,56,3.6765332623686,60,3.34958458278726,62,2.91201148846254,64,2.14892812431294,71,1.60531219912934
Peru,PER,31,4.85702584043239,30,4.71919668221384,30,4.552029619684,41,4.49130937921942,45,4.51965027574502,50,4.23302879055083,50,4.21735236802828,54,3.85208522066337,55,3.2072396882827,38,4.46448818451987,41,3.8560981851493
